"Category","Item","Count","Files","Recommendation"
"spacing","mt-16","2","app/[locale]/page.tsx; app/landing/page.tsx","OK"
"spacing","p-6","86","app/[locale]/page.tsx; app/admin/page.tsx; app/api-docs/page.tsx; app/community/page.tsx; app/dashboard/page.tsx; app/blog/page.tsx; app/demo/page.tsx; app/documents/page.tsx; app/enterprise/page.tsx; app/landing/page.tsx; app/support/page.tsx; app/workspace-v2/page.tsx; app/admin/invites/page.tsx; app/admin/monitor/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/history/page.tsx; app/dashboard/insights/page.tsx; app/dashboard/settings/page.tsx; app/dashboard/workflows/page.tsx; app/blog/[id]/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/agents/AIInterfaceRefinement.tsx; components/agents/AgentSwarmInterface.tsx; components/agents/VoiceControlInterface.tsx; components/admin/AdminDashboard.tsx; components/admin/CostTrackingDashboard.tsx; components/admin/MonitoringDashboard.tsx; components/admin/RealTimeCostDashboard.tsx; components/accessibility/AccessibilityPanel.tsx; components/analytics/ConsentBanner.tsx; components/analytics/analytics-dashboard.tsx; components/analytics/report-builder.tsx; components/auth/InviteRedemptionModal.tsx; components/billing/BillingPage.tsx; components/dashboard/DashboardLayout.tsx; components/enterprise/AdvancedMetricsDashboard.tsx; components/enterprise/RealtimeDataVisualization.tsx; components/documents/AgentVisualization.tsx; components/documents/DocumentTranslator.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/monitoring/ProductionDashboard.tsx; components/mobile/SwipeableNavigation.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/AIOnboarding.tsx; components/onboarding/SmartUserJourney.tsx; components/optimization/LazyWrapper.tsx; components/layouts/NotebookLMLayout.tsx; components/navigation/ModernNavbar.tsx; components/payment/PaymentResult.tsx; components/pricing/PricingPage.tsx; components/performance/PerformanceDashboard.tsx; components/security/security-dashboard.tsx; components/security/two-factor-setup.tsx; components/sections/ProductShowcase.tsx; components/sections/TrustSignals.tsx; components/ui/BlogCard.tsx; components/ui/FeatureDiscovery.tsx; components/ui/Skeleton.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/PersonalizedRecommendations.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/WorkspaceLayout.tsx; components/workspace/WorkspaceSkeleton.tsx; components/__tests__/ui/dashboard.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx","Consider tokenizing"
"spacing","mb-2","79","app/[locale]/page.tsx; app/admin/page.tsx; app/api-docs/page.tsx; app/community/page.tsx; app/dashboard/page.tsx; app/beta/page.tsx; app/demo/page.tsx; app/enterprise/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/history/page.tsx; app/dashboard/settings/page.tsx; app/dashboard/workflows/page.tsx; app/blog/[id]/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/ErrorBoundary.tsx; components/Footer.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/agents/AIInterfaceRefinement.tsx; components/agents/AgentSwarmInterface.tsx; components/agents/VoiceControlInterface.tsx; components/admin/MonitoringDashboard.tsx; components/admin/RealTimeCostDashboard.tsx; components/analytics/report-builder.tsx; components/auth/AuthModal.tsx; components/auth/CreditDisplay.tsx; components/auth/InviteRedemptionModal.tsx; components/billing/BillingPage.tsx; components/dashboard/DashboardLayout.tsx; components/enterprise/AdvancedMetricsDashboard.tsx; components/documents/BatchUpload.tsx; components/documents/DocumentPreview.tsx; components/documents/DocumentTranslator.tsx; components/documents/DocumentViewer.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/invite/InviteRedemptionPage.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/monitoring/ProductionDashboard.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/AIOnboarding.tsx; components/onboarding/SmartUserJourney.tsx; components/layouts/UnifiedLayout.tsx; components/pricing/PricingPage.tsx; components/performance/ComponentProfiler.tsx; components/panels/SourcesPanel.tsx; components/security/two-factor-setup.tsx; components/sections/CommunityProof.tsx; components/sections/ModernHero.tsx; components/sections/ProductShowcase.tsx; components/sections/TrustSignals.tsx; components/ui/ErrorBoundary.tsx; components/ui/FallbackStates.tsx; components/ui/FeatureDiscovery.tsx; components/ui/FeatureHint.tsx; components/ui/language-selector.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/PersonalizedRecommendations.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/__tests__/ui/dashboard.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/PredictiveInsights.tsx; lib/error-tracking/error-boundary.tsx","Consider tokenizing"
"sizing","max-w-md","16","app/admin/page.tsx; app/beta/page.tsx; app/dashboard/settings/page.tsx; components/ErrorBoundary.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/auth/AuthErrorHandler.tsx; components/auth/InviteRedemptionModal.tsx; components/invite/InviteRedemptionPage.tsx; components/payment/PaymentResult.tsx; components/performance/ComponentProfiler.tsx; components/security/two-factor-setup.tsx; components/ui/ErrorBoundary.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; lib/error-tracking/error-boundary.tsx","Consider tokenizing"
"sizing","w-full","82","app/admin/page.tsx; app/community/page.tsx; app/beta/page.tsx; app/blog/page.tsx; app/documents/page.tsx; app/enterprise/page.tsx; app/landing/page.tsx; app/support/page.tsx; app/admin/invites/page.tsx; app/admin/monitor/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/history/page.tsx; app/dashboard/settings/page.tsx; app/blog/[id]/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/ErrorBoundary.tsx; components/Footer.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/agents/AgentSwarmInterface.tsx; components/admin/AdminDashboard.tsx; components/admin/MonitoringDashboard.tsx; components/accessibility/AccessibilityPanel.tsx; components/analytics/report-builder.tsx; components/auth/AuthErrorHandler.tsx; components/auth/AuthModal.tsx; components/auth/InviteRedemptionModal.tsx; components/auth/UnifiedUserMenu.tsx; components/billing/BillingPage.tsx; components/credits/CreditHUD.tsx; components/enterprise/AdvancedMetricsDashboard.tsx; components/enterprise/RealtimeDataVisualization.tsx; components/documents/AgentVisualization.tsx; components/documents/BatchUpload.tsx; components/documents/DocumentTranslator.tsx; components/documents/DocumentUpload.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/error-tracking/ErrorReportDialog.tsx; components/mobile/SwipeableNavigation.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/AIOnboarding.tsx; components/onboarding/SmartUserJourney.tsx; components/optimization/LazyComponentLoader.tsx; components/layouts/MobileNotebookLMLayout.tsx; components/layouts/NotebookLMLayout.tsx; components/layouts/UnifiedLayout.tsx; components/navigation/ModernNavbar.tsx; components/payment/PaymentResult.tsx; components/pricing/PricingPage.tsx; components/panels/ExportPanel.tsx; components/panels/SourcesPanel.tsx; components/theme/ThemeToggle.tsx; components/security/two-factor-setup.tsx; components/sections/CommunityProof.tsx; components/sections/ModernHero.tsx; components/ui/ErrorBoundary.tsx; components/ui/FallbackStates.tsx; components/ui/Toast.tsx; components/ui/UniversalDropdown.tsx; components/ui/input.tsx; components/ui/language-selector.tsx; components/ui/textarea.tsx; components/workflow/workflow-builder.tsx; components/workflows/TemplateMarketplace.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/WorkspaceLayout.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; lib/error-tracking/error-boundary.tsx; lib/i18n/provider.tsx","Consider tokenizing"
"effects","shadow-md","2","app/admin/page.tsx; components/workflow/workflow-builder.tsx","OK"
"colors","bg-yellow-50","2","app/admin/page.tsx; components/auth/AuthErrorHandler.tsx","OK"
"colors","border-yellow-200","2","app/admin/page.tsx; components/auth/AuthErrorHandler.tsx","OK"
"borders","rounded-md","23","app/admin/page.tsx; app/dashboard/agents/page.tsx; components/Footer.tsx; components/ServiceWorkerRegistration.tsx; components/admin/AdminDashboard.tsx; components/analytics/analytics-dashboard.tsx; components/analytics/report-builder.tsx; components/auth/AuthErrorHandler.tsx; components/credits/CreditHUD.tsx; components/security/security-dashboard.tsx; components/security/two-factor-setup.tsx; components/ui/input.tsx; components/ui/language-selector.tsx; components/ui/textarea.tsx; components/workflow/workflow-builder.tsx; components/workflow/workflow-dashboard.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/SimpleTranslationInterface.tsx; components/__tests__/layout/navbar.test.tsx; lib/i18n/provider.tsx","Consider tokenizing"
"spacing","p-4","65","app/admin/page.tsx; app/dashboard/page.tsx; app/dashboard/workflows/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/analytics/page.tsx; components/ErrorBoundary.tsx; components/ServiceWorkerRegistration.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/agents/AIInterfaceRefinement.tsx; components/agents/VoiceControlInterface.tsx; components/accessibility/AccessibilityPanel.tsx; components/analytics/ConsentBanner.tsx; components/analytics/report-builder.tsx; components/auth/AuthErrorHandler.tsx; components/auth/AuthModal.tsx; components/auth/InviteRedemptionModal.tsx; components/dashboard/DashboardLayout.tsx; components/enterprise/AdvancedMetricsDashboard.tsx; components/enterprise/RealtimeDataVisualization.tsx; components/documents/AgentVisualization.tsx; components/documents/BatchUpload.tsx; components/documents/DocumentTranslator.tsx; components/documents/DocumentUpload.tsx; components/documents/DocumentViewer.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/mobile/SwipeableNavigation.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/layouts/NotebookLMLayout.tsx; components/layouts/UnifiedLayout.tsx; components/payment/PaymentResult.tsx; components/performance/ComponentProfiler.tsx; components/performance/PerformanceDashboard.tsx; components/panels/ExportPanel.tsx; components/panels/SourcesPanel.tsx; components/transitions/PageTransition.tsx; components/security/two-factor-setup.tsx; components/sections/CommunityProof.tsx; components/sections/ModernHero.tsx; components/sections/ProductShowcase.tsx; components/ui/ErrorBoundary.tsx; components/ui/FeatureHint.tsx; components/ui/Skeleton.tsx; components/workflow/workflow-builder.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/WorkspaceLayout.tsx; components/workspace/WorkspaceSkeleton.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; lib/error-tracking/error-boundary.tsx","Consider tokenizing"
"typography","text-yellow-800","4","app/admin/page.tsx; components/auth/AuthErrorHandler.tsx; components/panels/ExportPanel.tsx; components/workspace/DownloadInterface.tsx","Consider tokenizing"
"typography","text-yellow-700","4","app/admin/page.tsx; components/auth/AuthErrorHandler.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/SmartUserJourney.tsx","Consider tokenizing"
"colors","bg-blue-50","14","app/admin/page.tsx; app/demo/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/documents/BatchUpload.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/panels/ExportPanel.tsx; components/workflow/workflow-builder.tsx; components/workflows/AutomationManager.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx","Consider tokenizing"
"colors","border-blue-200","7","app/admin/page.tsx; app/demo/page.tsx; components/admin/CostTrackingDashboard.tsx; components/documents/BatchUpload.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/SimpleTranslationInterface.tsx","Consider tokenizing"
"typography","text-blue-800","11","app/admin/page.tsx; app/demo/page.tsx; app/dashboard/history/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/panels/SourcesPanel.tsx; components/workflow/workflow-builder.tsx; components/workflows/AutomationManager.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx","Consider tokenizing"
"typography","text-blue-700","9","app/admin/page.tsx; components/auth/AuthErrorHandler.tsx; components/documents/BatchUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/panels/ExportPanel.tsx; components/workflow/workflow-builder.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx","Consider tokenizing"
"typography","text-left","31","app/admin/page.tsx; app/enterprise/page.tsx; app/admin/invites/page.tsx; app/dashboard/history/page.tsx; app/dashboard/enterprise/analytics/page.tsx; components/ErrorBoundary.tsx; components/Footer.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/agents/AgentSwarmInterface.tsx; components/admin/AdminDashboard.tsx; components/admin/CostTrackingDashboard.tsx; components/analytics/analytics-dashboard.tsx; components/analytics/report-builder.tsx; components/auth/UnifiedUserMenu.tsx; components/mobile/SwipeableNavigation.tsx; components/layouts/UnifiedLayout.tsx; components/payment/PaymentResult.tsx; components/pricing/PricingPage.tsx; components/theme/ThemeToggle.tsx; components/security/security-dashboard.tsx; components/sections/ProductShowcase.tsx; components/ui/ErrorBoundary.tsx; components/ui/UniversalDropdown.tsx; components/ui/language-selector.tsx; components/workflow/workflow-dashboard.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/WorkspaceLayout.tsx; components/__tests__/layout/navbar.test.tsx; lib/error-tracking/error-boundary.tsx","Consider tokenizing"
"spacing","px-1","2","app/admin/page.tsx; components/analytics/ConsentBanner.tsx","OK"
"colors","bg-blue-500","6","app/admin/page.tsx; app/community/page.tsx; app/dashboard/agents/page.tsx; components/agents/AgentSwarmInterface.tsx; components/panels/SourcesPanel.tsx; components/workflow/workflow-builder.tsx","Consider tokenizing"
"colors","hover:bg-blue-600","2","app/admin/page.tsx; app/dashboard/agents/page.tsx","OK"
"spacing","py-2","72","app/admin/page.tsx; app/community/page.tsx; app/dashboard/page.tsx; app/demo/page.tsx; app/features/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/insights/page.tsx; app/dashboard/workflows/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/agents/AIInterfaceRefinement.tsx; components/admin/AdminDashboard.tsx; components/admin/CostTrackingDashboard.tsx; components/admin/MonitoringDashboard.tsx; components/admin/RealTimeCostDashboard.tsx; components/analytics/analytics-dashboard.tsx; components/analytics/report-builder.tsx; components/auth/AuthModal.tsx; components/auth/CreditDisplay.tsx; components/auth/InviteRedemptionModal.tsx; components/auth/UnifiedUserMenu.tsx; components/credits/CreditHUD.tsx; components/dashboard/DashboardLayout.tsx; components/enterprise/AdvancedMetricsDashboard.tsx; components/enterprise/RealtimeDataVisualization.tsx; components/documents/EnhancedDocumentUpload.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/ProductionDashboard.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/AIOnboarding.tsx; components/onboarding/SmartUserJourney.tsx; components/layouts/NotebookLMLayout.tsx; components/layouts/UnifiedLayout.tsx; components/navigation/ModernNavbar.tsx; components/performance/PerformanceDashboard.tsx; components/panels/ExportPanel.tsx; components/panels/SourcesPanel.tsx; components/theme/ThemeToggle.tsx; components/security/security-dashboard.tsx; components/security/two-factor-setup.tsx; components/sections/ModernHero.tsx; components/ui/FeatureDiscovery.tsx; components/ui/Skeleton.tsx; components/ui/input.tsx; components/ui/language-selector.tsx; components/ui/textarea.tsx; components/workflow/workflow-builder.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/PersonalizedRecommendations.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/__tests__/layout/navbar.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx; lib/error-tracking/error-boundary.tsx; lib/i18n/provider.tsx","Consider tokenizing"
"other","animate-spin","47","app/api-docs/page.tsx; app/beta/page.tsx; app/documents/page.tsx; app/admin/invites/page.tsx; app/admin/monitor/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/insights/page.tsx; app/dashboard/agents/page.tsx; components/agents/VoiceControlInterface.tsx; components/admin/CostTrackingDashboard.tsx; components/admin/MonitoringDashboard.tsx; components/admin/RealTimeCostDashboard.tsx; components/analytics/analytics-dashboard.tsx; components/auth/AuthModal.tsx; components/auth/InviteRedemptionModal.tsx; components/documents/AgentVisualization.tsx; components/documents/BatchUpload.tsx; components/documents/DocumentUpload.tsx; components/documents/DocumentViewer.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/invite/InviteRedemptionPage.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/ProductionDashboard.tsx; components/optimization/LazyComponentLoader.tsx; components/pricing/PricingPage.tsx; components/performance/PerformanceDashboard.tsx; components/transitions/PageTransition.tsx; components/security/security-dashboard.tsx; components/security/two-factor-setup.tsx; components/ui/Button.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/TemplateMarketplace.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/PersonalizedRecommendations.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/__tests__/ui/dashboard.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/PredictiveInsights.tsx; lib/i18n/provider.tsx","Consider tokenizing"
"borders","rounded-full","86","app/api-docs/page.tsx; app/community/page.tsx; app/beta/page.tsx; app/demo/page.tsx; app/documents/page.tsx; app/enterprise/page.tsx; app/landing/page.tsx; app/support/page.tsx; app/workspace-v2/page.tsx; app/admin/invites/page.tsx; app/admin/monitor/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/history/page.tsx; app/dashboard/insights/page.tsx; app/dashboard/settings/page.tsx; app/dashboard/workflows/page.tsx; app/blog/[id]/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/analytics/page.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/agents/AIInterfaceRefinement.tsx; components/agents/AgentSwarmInterface.tsx; components/agents/VoiceControlInterface.tsx; components/admin/MonitoringDashboard.tsx; components/admin/RealTimeCostDashboard.tsx; components/accessibility/AccessibilityPanel.tsx; components/analytics/ConsentBanner.tsx; components/analytics/analytics-dashboard.tsx; components/auth/AuthModal.tsx; components/auth/InviteRedemptionModal.tsx; components/auth/UnifiedUserMenu.tsx; components/billing/BillingPage.tsx; components/enterprise/RealtimeDataVisualization.tsx; components/documents/AgentVisualization.tsx; components/documents/BatchUpload.tsx; components/documents/DocumentViewer.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/invite/InviteRedemptionPage.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/monitoring/ProductionDashboard.tsx; components/mobile/SwipeableNavigation.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/AIOnboarding.tsx; components/onboarding/SmartUserJourney.tsx; components/pricing/PricingPage.tsx; components/performance/ComponentProfiler.tsx; components/performance/PerformanceDashboard.tsx; components/panels/ExportPanel.tsx; components/panels/SourcesPanel.tsx; components/theme/ThemeToggle.tsx; components/transitions/PageTransition.tsx; components/security/security-dashboard.tsx; components/security/two-factor-setup.tsx; components/sections/CommunityProof.tsx; components/sections/ProductShowcase.tsx; components/sections/TrustSignals.tsx; components/ui/Button.tsx; components/ui/ErrorBoundary.tsx; components/ui/FeatureCard.tsx; components/ui/FeatureDiscovery.tsx; components/ui/FeatureHint.tsx; components/ui/Skeleton.tsx; components/ui/UniversalDropdown.tsx; components/workflow/workflow-builder.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/TemplateMarketplace.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/WorkspaceSkeleton.tsx; components/__tests__/ui/dashboard.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; lib/error-tracking/error-boundary.tsx; lib/i18n/provider.tsx","Consider tokenizing"
"sizing","h-12","45","app/api-docs/page.tsx; app/dashboard/page.tsx; app/documents/page.tsx; app/features/page.tsx; app/enterprise/page.tsx; app/landing/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/workflows/page.tsx; app/blog/[id]/page.tsx; components/agents/VoiceControlInterface.tsx; components/admin/CostTrackingDashboard.tsx; components/admin/MonitoringDashboard.tsx; components/admin/RealTimeCostDashboard.tsx; components/accessibility/AccessibilityPanel.tsx; components/documents/AgentVisualization.tsx; components/documents/BatchUpload.tsx; components/documents/DocumentPreview.tsx; components/documents/DocumentViewer.tsx; components/documents/EnhancedDocumentUpload.tsx; components/monitoring/ProductionDashboard.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/AIOnboarding.tsx; components/layouts/NotebookLMLayout.tsx; components/navigation/ModernNavbar.tsx; components/panels/ExportPanel.tsx; components/panels/SourcesPanel.tsx; components/security/security-dashboard.tsx; components/security/two-factor-setup.tsx; components/sections/TrustSignals.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/PersonalizedRecommendations.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SimpleTranslationInterface.tsx; components/__tests__/ui/dashboard.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx","Consider tokenizing"
